"ID","Identifier","Name","TextureName"
"161","シュヴァルツ","シュヴァルツ","Schwarz"
"162","フィリア","フィリア","Philia"
"163","ウッドロウ","ウッドロウ","Woodrow"
"165","ユージーン","ユージーン","Eugene"
"166","マオ","マオ","Mao"
"167","ラザリス","ラザリス","Razaris"
"168","ディオ","ディオ","Dio"
"169","メル","メル","Mel"
"170","ティルキス","ティルキス","Tilkis"
"171","シゼル","シゼル","Shizel"
"172","アーリア","アーリア","Arria"
"173","リッピ","リッピ","Rippi"
"174","グラスティン","グラスティン","Glasstin"
"175","カーリャ・N","カーリャネヴァン","Karya"
"176","アリエッタ","アリエッタ","Arietta"
"177","ヴォルト","ヴォルト","Volt"
"178","コングマン","コングマン","Kongman"
"179","リリス","リリス","Lilith"
"180","マーテル","マーテル","Martel"
"181","ユアン","ユアン","Yuan"
"182","アリス","アリス","Alice"
"183","イオン","イオン","Ion"
"184","リトルクイーン","リトルクイーン","LittleQueen"
"185","オリジン","オリジン","Origin"
"187","坂田 銀時","サカタギントキ","Gintoki"
"188","神楽","カグラ","Kagura"
"189","土方 十四郎","ヒジカタジュウシロウ","Hijikata"
"190","沖田 総悟","オキタソウゴ","Okita"
"191","フィリーネ(GEREO)","フィリーネ(GEREO)","Philine"
"192","ユグドラシル","ユグドラシル","Yggdrasill"
"193","マリー","マリー","Mary"
"194","モーゼス","モーゼス","Moses"
"195","ジェイ","ジェイ","Jay"
"196","ネビリム","ネビリム","Nebilim"
"197","キュキュ","キュキュ","QQ"
"198","イネス","イネス","Innes"
"199","ガラド","ガラド","Galando"
"200","シグレ","シグレ","Shigure"
"201","オスカー","オスカー","Oscar"
"202","テレサ","テレサ","Teresa"
"204","双葉 杏","フタバアンズ","Anzu"
"205","諸星 きらり","モロボシキラリ","Kirari"
"206","リカルド","リカルド","Ricardo"
"207","サイモン","サイモン","Symonne"
"208","ウィル","ウィル","Will"
"209","チェルシー","チェルシー","Chelsea"
"210","フォッグ","フォッグ","Fog"
"211","レイス","レイス","Race"
"212","カルセドニー","カルセドニー","Calcedny"
"213","イバル","イバル","Ivar"
"214","リナ","リナ","Lina"
"215","ガウリイ","ガウリイ","Gourry"
"216","ゼルガディス","ゼルガディス","Zelgadis"
"217","アメリア","アメリア","Amelia"
"218","獣神官 ゼロス","プリーストゼロス","Xellos"
"219","レム","レム","Rem"
"220","ハセヲ","ハセヲ","Haseo"
"221","アトリ","アトリ","Atoli"
"222","ワルター","ワルター","Walter"
"223","鏡士リーガル","かがみしリーガル","RegalEN"
"224","フォレスト","フォレスト","Forest"
"225","エルマーナ","エルマーナ","Hermana"
"226","ミクトラン","ミクトラン","Miktran"
"227","アレクセイ","アレクセイ","Alexei"
"228","ベル","ベル","Bell"
"229","アイズ","アイズ","Ais"
"230","バルド","バルド","Bardo"
"231","シュヴァーン","シュヴァーン","Schwann"
"232","マークⅡ","マークⅡ","Marktwo"
"233","アルトリウス","アルトリウス","Artorius"
"234","マグナディウエス","マグナディウエス","Magnadeus"
"235","アスタ","アスタ","Asta"
"236","ユノ","ユノ","Yuno"
"237","ヤミ","ヤミ","Yami"
"238","シャーロット","シャーロット","Charlotte"
"239","リグレット","リグレット","Regret"
"240","インカローズ","インカローズ","Incarros"
"241","イエガー","イエガー","Yeager"
"242","ゴーシュ","ゴーシュ","Gauche"
"243","ドロワット","ドロワット","Droite"
"244","ファング","ファング","AstLloyd"
"245","クロー","クロー","AstYuri"
"246","ロアー","ロアー","AstMilla"
"247","破滅へと導く者","はめつへとみちびくもの","AstKanonnoE"
"248","ピオニー","ピオニー","Peony"
"249","ロミー","ロミー","Rommy"
"250","モリスン","モリスン","Morrison"
"251","ソル","ソル","Sol"
"252","ラムレザル","ラムレザル","Ramlethal"
"253","アルフェン","アルフェン","Alphen"
"254","シオン","シオン","Shionne"
"255","ヘルダルフ","ヘルダルフ","Heldalf"
"256","チトセ","チトセ","Thitose"
"257","リンウェル","リンウェル","Rinwell"
"258","ロウ","ロウ","Law"
"259","キサラ","キサラ","Kisara"
"260","テュオハリム","テュオハリム","Dohalim"
"261","プルート","プルート","Pluto"
"262","戦槍 クレス","クレスせんそう","ClessLance"
"263","セルゲイ","セルゲイ","Sergei"
"264","ワイルドタイガー","ワイルドタイガー","Wildtiger"
"265","バーナビー","バーナビー","Barnaby"
"267","覇王 ガイアス","ガイアスはおう","GaiusBoss"
"268","クルール","クルール","Kruelle"
"269","ニケ","ニケ","Nike"
"270","ククリ","ククリ","Kukuri"
"271","フィリップ","フィリップ","Philippe"
"272","マティウス","マティウス","Mathias"
"273","ダオスファイナルＦ","ダオスファイナルフォーム","DhaosFinal"
"274","デミトリアス","デミトリアス","DemetriusEN"
"275","桂 小太郎","かつらこたろう","Katsura"
"276","高杉 晋助","たかすぎしんすけ","Takasugi"
"277","オリエ","オリエ","Orie"
"278","ティルグ","ティルグ","Tilg"
"279","意志を紡ぎし神子","コレットアスタリア","AstCollet"
"280","闇を纏うアスベル","アスベルアスタリア","AstAsbel"
"281","闇を纏うエドナ","エドナアスタリア","AstEdna"
"282","カナタ","カナタ","Kanata"
"283","ミゼラ","ミゼラ","Misera"
"284","ヴィシャス","ヴィシャス","Vicious"
"285","イージス","イージス","Aegis"
"286","ユナ","ユナ","Yuna"
"288","ユージオ","ユージオ","Eugeo"
"289","アリス(SAO)","アリスSAO","AliceSAO"
"290","虹翼まといし者","デュークこうよく","DukeThird"
"292","ビエゾ","ビエゾ","Balseph"
"293","フル骸殻ルドガー","ルドガーがいかく","LudgerGK"
"294","ビズリー","ビズリー","Bisley"
"295","ヨウ・ビクエ","ヨウ・ビクエ","Yobikue"
"296","白蛇のナーガ","サーペントのナーガ","Naga"
"297","カーレル","カーレル","Karlel"
"298","ゲフィオン（魔鏡技用）","ゲフィオン（魔鏡技用）","Gefion"
"299","セレス","セレス","Seles"
"300","カサネ","カサネ","Kasane"
"301","コダマ","コダマ","Kodama"
"302","ヘイズ","ヘイズ","Haze"
"303","セイリオス","セイリオス","Seirios"
"304","バルド・ミストルテン","バルド・ミストルテン","Bardosecond"
"305","リワンナ","リワンナ","Liwanna"
"306","アイリス","アイリス","Iris"
"307","エルナト","エルナト","Ernat"
"308","アグラード","アグラード","Agrad"
"310","カイ","カイ","Ky"
"311","ブリジット","ブリジット","Bridget"
"312","アガーテ","アガーテ","Agarte"
"313","ケロロ軍曹","ケロロぐんそう","Keroro"
"314","日向 夏美","ひなたなつみ","Natsumi"
"315","ジルファ","ジルファ","Zilpha"
"316","ギロロ（魔鏡技用）","ギロロ（魔鏡技用）","Giroro"
"317","ドロロ（魔鏡技用）","ドロロ（魔鏡技用）","Dololo"
"318","ナザミル","ナザミル","Nazamil"
"319","KOS-MOS","コスモス","Kosmos"
"320","エルナト","エルナト","ErnatEN"
"321","エル（アスタリア）","エル","ElleFu"
"995","オタオタ","オタオタ","Otaota"
"1001","mst_npcs|name|1001","","Gefion"
"1002","mst_npcs|name|1002","","Garows"
"1003","カーリャ","カーリャ","KaryaNPC"
"1003","mst_npcs|name|1003","","KaryaNPC"
"1004","mst_npcs|name|1004","","Tipo"
"1005","mst_npcs|name|1005","","Murabitom00"
"1006","mst_npcs|name|1006","","Npcknightla"
"1007","mst_npcs|name|1007","","Npcresistansesw"
"1008","mst_npcs|name|1008","","Boy00"
"1009","mst_npcs|name|1009","","Mieu00"
"1010","mst_npcs|name|1010","","Mieu01"
"1011","mst_npcs|name|1011","","Quickie"
"1012","マリアン","マリアン","MarianNPC"
"1012","mst_npcs|name|1012","","MarianNPC"
"1013","デミトリアス","","Demetrius"
"1014","村人","","Murabitom01"
"1015","救世軍幹部","","ResistanceLeader"
"1016","復讐鬼","","AvengerVelvet"
"1017","コーキス","","Korcis"
"1018","フェニックス","","Phoenix"
"1019","リッピ","","rippi"
"1020","ワイズマン","","wiseman"
"1021","フィリップ","","PhilippeJr"
"1022","エル","","Elle"
"1023","ルル","","Lulu"
"1024","ダオス","","Dhaos"
"1025","ミクトラン","","Miktran"
"1026","シゼル","","Shizel"
"1027","フォルトゥナ","","Fortuna"
"1028","ミトス","","Mitos"
"1029","ジルバ","","Zilva"
"1030","シュヴァルツ","","Schwarz"
"1031","ヴァン","","Van"
"1032","フォドラクイーン","","Fodraqueen"
"1033","デューク","","Duke"
"1034","マティウス","","Mateus"
"1035","クリード","","Creed"
"1036","ガイアス","","Gaius"
"1037","ビズリー","","Bisley"
"1038","ヘルダルフ","","Helldorf"
"1039","アルトリウス","","Artorias"
"1040","","","DELETELATER"
"1041","アミィ","","Ami"
"1042","ジュニア","","PhilippeJr"
"1043","ナーザ","","Ickx98"
"1044","ノイシュ","","Naoise"
"1045","セシリィ","セシリィ","Cecily"
"1045","セシリィ","","Cecily"
"1046","ビエンフー","","Bienfu00"
"1048","ヨーランド","","yolande00"
"1049","キュッポ","","Cuppo"
"1050","ピッポ","","Pippo"
"1051","ポッポ","","Poppo"
"1052","ユイ","","Yui"
"1053","マーテル","","Martel"
"1054","メルクリア","","Mercuria"
"1055","ホワイトかめにん","","WKamenin"
"1056","ノルミン","","Normin01"
"1057","ノルミンA","","Normin02"
"1058","ノルミンB","","Normin03"
"1059","ノルミンC","","Normin04"
"1060","ノルミンD","","Normin05"
"1061","フェニックス(3D用)","","Normin00"
"1062","アステル","","Aster"
"1063","アスベル","","AsbelLam"
"1064","ファントム","","PhantomLam"
"1065","デミトリアス","","DemetriusYo"
"1066","テネブラエ","","Tenebrae"
"1067","ラタトスク","","Ratatosk"
"1068","グラスティン","","Phantom2"
"1069","イオン","","Ion"
"1070","被験者イオン","","IonOriginal"
"1071","チーグル","","Tiger"
"1072","クレア","クレア","ClaireNPC"
"1072","クレア","","ClaireNPC"
"1073","ネヴァンスチル","","NemainStill"
"1074","死鏡精","","Shikyosei"
"1075","死鏡精A","","Shikyosei"
"1076","死鏡精B","","Shikyosei"
"1077","死鏡精C","","Shikyosei"
"1078","志村 新八","","ShimpachiGla"
"1079","リトルクイーンA","","LittleQueen"
"1080","リトルクイーンB","","LittleQueen"
"1081","リトルクイーンC","","LittleQueen"
"1082","ムルジム","","Murzim"
"1083","コーダ","","Coda"
"1084","マウリッツ","","Maurits"
"1085","リベラ","","Ion"
"1086","売人","","DezelSilhouette"
"1087","工作員","","AlvinSilhouette"
"1088","アニキ","","ZaveidSilhouette"
"1089","青年","","YuriSilhouette"
"1090","自警団","","LionSilhouette"
"1091","少年二人組","","LukeSilhouette"
"1092","少年二人組","","KyleSilhouette"
"1093","キュッポ","キュッポ","CuppoNPC"
"1093","キュッポ","","CuppoNPC"
"1094","かめにん","","Kamenin"
"1095","かめにん","","Kamenin"
"1096","かめにん","","Kamenin"
"1097","ヘスティア","ヘスティア","HestiaNPC"
"1097","ヘスティア","","HestiaNPC"
"1098","ウォーデン","","Worden"
"1099","フィリップ","","Philippe1st"
"1100","イレーヌ","","Ilene"
"1101","ゲフィオン","","GefionRec"
"1102","サラ","","SalaSc"
"1103","カナ","","KanaSc"
"1104","アレン","","AlenSc"
"1105","ゼファー","","ZephyrSc"
"1106","リッピ","","RippiSc"
"1107","フィーネ","","Fine"
"1108","シーザ","","Caesar"
"1109","レオーネ","","Leonne"
"1110","イクス","","IckxSc"
"1111","ミリーナ","","MileenaSc"
"1112","フリーセル","","Freecell"
"1113","サイモン１","","SymonneNPC"
"1114","サイモン２","","SymonneNPC"
"1115","サイモン３","","SymonneNPC"
"1116","オスカー","","OscarNPC"
"1117","フリーセル","","Freecell2"
"1118","アガーテ","","Agarte"
"1119","カーツ","","Kurtz"
"1120","もう一人のコレット","","ColletAnt"
"1121","新八","","ShimpachiOta"
"1122","コーキス ？","","KorcisBlackAnt"
"1123","イクス（１ｓｔ）","","Ickx1stI3"
"1124","イクス（１ｓｔ）","","Ickx1stN"
"1125","銀時","","GintokiNPC"
"1126","土方","","HijikataNPC"
"1127","沖田","","OkitaNPC"
"1128","桂","","KatsuraNPC"
"1129","高杉","","TakasugiNPC"
"1130","ルーングロム","","LundgromNPC"
"1131","パライバ","","ParaibaNPC"
"1132","ミルハウスト","","Milhaust"
"1133","ヴィクトリア","","Victoria"
"1134","ウィンガル","","Wingull"
"1135","プレザ","","Presa"
"1136","死神騎士Ａ","","DeathKnight"
"1137","死神騎士Ｂ","","DeathKnight"
"1138","セイリオス幻影種","","GeneisyuSe"
"1139","バルド・ミストルテン","","BardosecondS"
"1140","タママ二等兵","タママにとうへい","TamamaNPC"
"1140","タママ二等兵","","TamamaNPC"
"1141","ギロロ伍長","ギロロごちょう","GiroroNPC"
"1141","ギロロ伍長","","GiroroNPC"
"1142","クルル曹長","クルルそうちょう","KululuNPC"
"1142","クルル曹長","","KululuNPC"
"1143","ドロロ兵長","ドロロへいちょう","DololoNPC"
"1143","ドロロ兵長","","DololoNPC"
"1144","日向 夏美","","NatsumiNPC"
"1145","日向 冬樹","","FuyukiNPC"
"1146","イクス","","Ickx1stI3"
"1147","ミュウ","ミュウ","MieuNPC"
"1147","ミュウ","","MieuNPC"
"1148","ビエンフー","ビエンフー","BienfuNPC"
"1148","ビエンフー","","BienfuNPC"
"1149","死神騎士Ｃ","","DeathKnight"
"1150","ユーリ幻影種","","GeneisyuYuri"
"1151","ルグ","","Lug"
"1152","アグラード","アグラード","AgradNPC"
"1152","アグラード","","AgradNPC"
"1153","少女ヘイズ","","HazeYo"
"1154","ニセコスモス","","KosmosNPC"
"1155","幼いコダマ","","KodamaYo"
"1156","バルド・Ｍ","","BardoNPC"
"1157","クロノス","","Khronos"
"1158","S・ディムロス","ディムロスS","DymlosNPC"
"1158","S・ディムロス","","DymlosNPC"
"10001","コーキス","コーキス","Korcis"
"10002","ミリーナ","ミリーナ","MileenaBlack"
"20001","イクス","イクス","IckxS3"
"20002","ミリーナ","ミリーナ","MileenaS3"
"999999","","","MultiEffect"
